,CRUDE_PETRO,CRUDE_BRENT,CRUDE_DUBAI,CRUDE_WTI,COAL_AUS,COAL_SAFRICA,NGAS_US,NGAS_EUR,NGAS_JP,iNATGAS,COCOA,COFFEE_ARABIC,COFFEE_ROBUS,TEA_AVG,TEA_COLOMBO,TEA_KOLKATA,TEA_MOMBASA,COCONUT_OIL,GRNUT,FISH_MEAL,GRNUT_OIL,PALM_OIL,PLMKRNL_OIL,SOYBEANS,SOYBEAN_OIL,SOYBEAN_MEAL,BARLEY,MAIZE,SORGHUM,RICE_05,RICE_25,RICE_A1,RICE_05_VNM,WHEAT_US_SRW,WHEAT_US_HRW,BANANA_EU,BANANA_US,ORANGE,BEEF,CHICKEN,LAMB,SHRIMP_MEX,SUGAR_EU,SUGAR_US,SUGAR_WLD,TOBAC_US,LOGS_CMR,LOGS_MYS,SAWNWD_CMR,SAWNWD_MYS,PLYWOOD,COTTON_A_INDX,RUBBER_TSR20,RUBBER1_MYSG,PHOSROCK,DAP,TSP,UREA_EE_BULK,POTASH,ALUMINUM,IRON_ORE,COPPER,LEAD,Tin,NICKEL,Zinc,GOLD,PLATINUM,SILVER
1980,36.86874994,37.89166705,35.84583282,..,40.14083333,..,1.589166667,4.22,5.696227328,43.21876738,2.603491667,3.466283333,3.243216667,1.659291667,1.1113645,2.04935325,1.817127,673.8333333,1236.583333,504.425,858.75,583.6916667,..,296.2291667,597.6083333,262.4166667,78.2287115,125.2625,128.8608333,410.7425,..,..,..,168.3016667,172.7266667,..,0.377266667,0.400175,2.759966667,0.757121624,2.879416667,10.141252,0.486890327,0.66208413,0.631608333,2275.86,251.6916667,195.5133333,396,396.2013407,273.7833333,2.061841667,..,1.424541667,44.66666667,222.2083333,180.25,200.5625,106.5,1774.912842,28.09,2182.091667,905.75,16774.88333,6518.675,761.2166667,607.8641667,679.1,20.80436667
1981,35.48499966,36.67583307,34.29416625,..,53.62,..,1.983333333,4.6,6.030341435,50.03815007,2.07955,2.86855,2.240216667,1.4702,0.973272892,1.813088667,1.6242095,569.9166667,1257.416667,467.4833333,1042.75,570.6666667,..,288.4166667,506.85,252.5833333,79.72583333,130.7808333,126.3716667,458.9891667,..,..,..,154.5866667,174.96,..,0.401275,0.4057275,2.474358333,0.773950223,2.738658333,10.1632982,0.417279451,0.434971526,0.374083333,2321.686667,212.79,154.5633333,..,349.406411,244.6941667,1.871058333,..,1.122833333,48.95833333,177.625,161.3333333,182.5,110.1666667,1262.730286,28.09,1741.95,726.725,14159.125,5953.083333,845.65,459.7541667,447.4816667,10.52318333
1982,32.64722213,33.41833289,31.75666682,32.76666667,54.7675,..,2.465,4.45,6.051622399,55.18852992,1.735616667,3.087558333,2.42365,1.5433,1.144970433,1.846399,1.638540917,464.4166667,827.5,352.9166667,584.9166667,445.0833333,..,244.6041667,447.25,218.5291667,63.7125,109.2625,108.5291667,272.4816667,..,..,..,132.5516667,160.355,..,0.374266667,0.384566667,2.389625,0.759785539,2.376916667,13.28333333,0.399458772,0.439252163,0.185641667,2563.956667,175.9175,146.4541667,..,339.3834799,232.4466667,1.597266667,..,0.857675,42.96041667,166.625,138.4166667,123.9583333,83.25,991.5666667,32.5,1480.441667,545.6,12825.8,4837.491667,744.7833333,375.7966667,328.2916667,7.929891667
1983,29.65777784,29.82916705,28.72916667,30.4149998,38.1875,..,2.5925,4.05,5.545815748,54.49254,2.119866667,2.911258333,2.731641667,2.097091667,1.857154833,2.520043083,1.91409975,729.875,965.3333333,452.5833333,710.9166667,501.425,..,281.5875,526.8833333,237.8333333,70.89083333,136.0166667,128.755,256.8025,..,..,..,137.3041667,157.415,..,0.428808333,0.3732,2.439891667,0.771966065,1.931033333,13.2075,0.387241503,0.485879876,0.186725,2656.545,160.7683333,137.7058333,..,328.1355686,229.8083333,1.853891667,..,1.064175,39.80208333,169.0833333,134.6666667,114.5416667,74.41666667,1438.433333,29,1591.925,425.3416667,12987.96667,4672.8,764.3333333,422.53,423.3075,11.42628333
1984,28.55749999,28.80166658,27.49333334,29.37750006,30.95833333,32.87083333,2.655,3.76,5.237680782,53.6640892,2.395991667,3.188658333,3.036783333,2.74155,2.500345417,2.9145965,2.809678,1154.583333,836.5833333,373.1666667,1016.666667,728.8333333,..,282.0833333,724,197.1666667,78.72333333,135.9425,118.1883333,232.4991667,..,..,..,140.2275,152.3333333,..,0.369478333,0.352393333,2.27315,0.873801137,1.921091667,11.735,0.362696734,0.479284388,0.114666667,2786.3225,175.6425,156.76,..,351.6374624,226.98,1.78485,..,0.95765,33.06666667,175.625,131.25,150.1666667,84.125,1251.325,26.15,1377.316667,442.6083333,12233.49167,4752.208333,921.9333333,360.4775,357.8083333,8.144025
1985,27.18333333,27.32916667,26.45833333,27.7625,33.75,34.9175,2.510833333,3.65,5.23,51.38527895,2.25445,3.230791667,2.648633333,1.749475,1.456686,2.203250667,1.58850425,590.1666667,675.75,280.0833333,904.9166667,500.5833333,..,224.4166667,572,157.1666667,58.81666667,112.2333333,103.0091667,196.9291667,..,..,..,128.66,135.8283333,..,0.378070833,0.398408333,2.154141667,0.837994434,1.844691667,10.49166667,0.350387605,0.448713657,0.089466667,2611.816667,173.8833333,121.7341667,307,307.1323657,210.8783333,1.318283333,..,0.758708333,36,157.1666667,121.375,111.625,83.20833333,1040.725,26.56,1417.383333,390.8583333,11539.04167,4899.041667,783.4416667,317.9075,292.4991667,6.115233333
1986,14.35,14.77083333,13.19583333,15.08333333,31.125,30.37,1.935,3.65,4.1,43.62715169,2.069616667,4.292583333,3.244758333,1.659566667,1.108527517,2.16296775,1.70724625,296.5,993.5833333,320.5833333,569.4166667,257,..,208.4166667,342.4166667,184.75,47.56,87.55833333,82.41333333,186.245,104.1208817,104.25,..,118.3891667,114.9166667,..,0.381725,0.393730833,2.09215,0.925517848,2.153283333,12.88583333,0.410169551,0.460306284,0.133375,2659.178333,221.6441667,138.5766667,..,329.3424356,273.7175,1.056275,..,0.806541667,36,138.1666667,121.1666667,70.75,72.95833333,1149.935,26.26,1373.781667,406.075,6161.366667,3881.241667,754.0333333,367.6941667,465.04,5.439191667
1987,18.14583333,18.34166667,16.9375,19.15833333,27.5,26.495,1.6625,2.59,3.35,34.77075126,1.994216667,2.504983333,2.248341667,1.651225,1.34895725,2.294533917,1.310175,442.25,758.5,383.4166667,499.75,342.5833333,..,215.75,334.25,203.25,55.00166667,75.69666667,72.76333333,214.6083333,191,153.9166667,..,112.1016667,112.8958333,..,0.393066667,0.455984167,2.385941667,0.908340184,2.162458333,11.44,0.472627116,0.481305282,0.148958333,2745.545833,258.9158333,201.7725,..,401.2965658,399.4066667,1.648433333,..,0.98465,34.14583333,160,138,82.5,67.29166667,1565.360833,25.3,1782.503333,596.8416667,6664.833333,4872.216667,798.7916667,446.4725,555.7233333,7.010091667
1988,14.71805556,14.97083333,13.21666667,15.96666667,34.875,28.10416667,1.681666667,2.36,3.34,33.90331065,1.5846,3.033708333,2.079183333,1.578016667,1.361824917,2.012689917,1.35949075,564.8333333,935.75,544.4166667,590.3333333,437.1666667,..,303.5,463.4166667,267.5,70.33333333,106.8908333,98.45916667,277.4708333,..,219.75,..,140.7225,145.1991667,..,0.478133333,0.453406667,2.517075,1.00290001,2.410783333,12.44,0.525041247,0.487680331,0.224666667,2467.895833,271.32,200.8608333,..,402.3264288,358.8358333,1.3994,..,1.18495,31.6,180.1666667,158.375,113.5416667,86.83333333,2550.455833,24.3,2601.671667,656.225,7051.633333,13778.31667,1241.508333,437.0483333,530.3433333,6.530458333
1989,17.83888889,18.21666667,15.70416667,19.59583333,38,31,1.696666667,2.09,3.28,32.76123905,1.241033333,2.387308333,1.655616667,1.824841667,1.529293917,2.427483417,1.517769917,516.8333333,817.5,408.4166667,774.75,350.4166667,..,275,431.5,247.5833333,75.1375,111.5241667,105.9375,299.1625,..,218.5833333,..,161.2616667,169.235,..,0.546791667,0.445425833,2.569058333,1.099535853,2.321025,11.155,0.501607943,0.502763598,0.282058333,3167.5725,273.7616667,190.5883333,..,485.2789134,350.32,1.674225,..,0.9699,31,155.2916667,144,102.9583333,98.33333333,1951.256667,27.83,2848.41,673.475,8534.433333,13308.175,1658.766667,381.4316667,509.6425,5.507091667
